Wall time,Step,Value
1696869040.4020627,2338816,-808.2660522460938
1696869146.0066814,2347008,-797.3203125
1696869303.3539376,2359296,-762.319580078125
1696869515.4178166,2375680,-419.00872802734375
1696869727.7992558,2392064,-597.3271484375
1696869781.1050007,2396160,-773.1417236328125
1696869834.5148077,2400256,-823.7979125976562
1696869941.0166194,2408448,-400.602783203125
1696870047.8154466,2416640,-474.27679443359375
1696870101.0426521,2420736,-585.986328125
1696870154.155879,2424832,-621.868896484375
1696870261.1478188,2433024,-720.7481079101562
1696870367.217804,2441216,-738.5765991210938
1696870420.3481064,2445312,-799.5723876953125
1696870473.4316258,2449408,-777.7978515625
1696870526.2261755,2453504,-708.5279541015625
1696870631.6400626,2461696,-740.9463500976562
1696870684.4602544,2465792,-726.6763916015625
1696870737.2150252,2469888,-734.8775024414062
1696870842.6538208,2478080,-779.8894653320312
1696871001.7522733,2490368,-777.4541625976562
1696871108.172322,2498560,-627.9883422851562
1696871267.9084623,2510848,-539.5505981445312
1696871321.1714535,2514944,-627.1357421875
1696871427.7881413,2523136,-600.736328125
1696871533.8403552,2531328,-701.8892211914062
1696871639.4819887,2539520,-685.6419067382812
1696871745.4063845,2547712,-676.31396484375
1696871798.878692,2551808,-718.9575805664062
1696871959.75287,2564096,-802.9232788085938
1696872067.4198954,2572288,-773.4451904296875
1696872121.0167334,2576384,-819.6786499023438
1696872335.2224648,2592768,-557.343017578125
1696872441.2173054,2600960,-671.0623779296875
1696872546.0476682,2609152,-647.7547607421875
1696872703.8326564,2621440,-727.3948974609375
1696872756.1995676,2625536,-728.3408813476562
1696872808.6475973,2629632,-772.5234375
1696872861.3095021,2633728,-773.146240234375
1696872914.0256484,2637824,-772.3109741210938
1696872966.636955,2641920,-773.2893676757812
1696873177.1704974,2658304,-518.7423706054688
1696873282.6198726,2666496,-524.7588500976562
1696873335.4445183,2670592,-599.05517578125
1696873388.5131788,2674688,-569.0455322265625
1696873441.0692916,2678784,-497.552001953125
1696873494.062173,2682880,-539.2985229492188
1696873652.1796088,2695168,-758.8453979492188
1696873704.828192,2699264,-695.9882202148438
1696873757.652851,2703360,-507.6901550292969
1696874126.6033187,2732032,-551.171630859375
1696874285.0585802,2744320,-624.6755981445312
1696874552.5308628,2764800,-567.0247192382812
1696874606.0020318,2768896,-635.6979370117188
1696874659.602804,2772992,-552.888427734375
1696874818.9966385,2785280,-480.1127624511719
1696874924.312057,2793472,-658.501220703125
1696874976.9761777,2797568,-621.9824829101562
1696875029.9487119,2801664,-622.1914672851562
1696875188.9627464,2813952,-658.0396118164062
1696875452.3535652,2834432,-500.5394592285156
1696875557.7440093,2842624,-557.340087890625
1696875610.4112248,2846720,-553.451171875
1696875663.0733476,2850816,-565.6640625
1696875715.8867605,2854912,-671.0753784179688
1696875821.2544365,2863104,-546.352294921875
1696875979.889927,2875392,-666.71142578125
1696876032.4536157,2879488,-703.1621704101562
1696876137.9835773,2887680,-784.13427734375
1696876347.6815448,2904064,-742.9081420898438
1696876400.086036,2908160,-721.2717895507812
1696876504.593863,2916352,-571.0697021484375
1696876660.9875202,2928640,-677.6965942382812
1696876763.713665,2936832,-658.8975830078125
1696876866.5371792,2945024,-760.1583251953125
1696876917.683238,2949120,-718.5084838867188
1696876968.816051,2953216,-716.506591796875
1696877071.3494356,2961408,-750.0687255859375
1696877173.8293023,2969600,-742.9266967773438
1696877224.8742323,2973696,-754.4994506835938
