video,user,trace,qoe_w1,qoe_w2,qoe_w3,qoe,qoe1,qoe2,qoe3
21,11,27,1.0,7.0,1.0,-0.20764,0.51373,0.27531,0.4553
21,11,27,1.0,1.0,7.0,-0.31991,0.53703,0.30674,0.44421
21,11,27,3.0,3.0,3.0,-0.08574,0.48424,0.24427,0.49718
21,11,34,7.0,1.0,1.0,0.35231,0.51481,0.0,0.43292
21,11,34,1.0,7.0,1.0,0.00746,0.50668,0.0,0.43953
21,11,34,1.0,1.0,7.0,-0.30951,0.47111,0.0,0.46525
21,11,34,3.0,3.0,3.0,0.01752,0.40172,0.0,0.34917
21,13,31,7.0,1.0,1.0,0.21291,0.39457,0.43901,0.40683
21,13,31,1.0,7.0,1.0,-0.32522,0.43675,0.42888,0.36157
21,13,31,1.0,1.0,7.0,-0.38213,0.39832,0.43943,0.48544
21,13,31,3.0,3.0,3.0,-0.14945,0.49646,0.49596,0.44884
21,13,33,7.0,1.0,1.0,0.0564,0.42118,1.9632,0.47743
21,13,33,1.0,7.0,1.0,-1.47299,0.43096,1.87823,0.54031
21,13,33,1.0,1.0,7.0,-0.58309,0.42956,2.02955,0.52112
